Name,Brand Name,Year of Manufacture,Distance Traveled,Fuel Type,Owner Type,Price
Maruti Baleno ALPHA PETROL 1.2,Maruti,2017,"73,813 km",Petrol,2nd owner,₹6.29L
Maruti Baleno ALPHA PETROL 1.2,Maruti,2017,"88,651 km",Petrol,1st owner,₹6.48L
Hyundai Creta SX PLUS 1.6 PETROL,Hyundai,2017,"92,148 km",Petrol,1st owner,₹8.63L
Honda Jazz 1.2L I-VTEC SV,Honda,2017,"59,005 km",Petrol,1st owner,₹5.17L
Tata ALTROZ XZ PLUS I-TURBO PETROL,Tata,2017,"13,400 km",Petrol,1st owner,₹8.78L
Maruti Alto VXI PLUS,Maruti,2017,"24,381 km",Petrol,2nd owner,₹3.75L
Tata NEXON XZA PLUS PETROL,Tata,2017,"27,320 km",Petrol,1st owner,₹11.26L
Hyundai AURA SX PLUS 1.2 AMT,Hyundai,2017,"37,286 km",Petrol,1st owner,₹8.03L
Skoda KUSHAQ AMBITION 1.0L TSI AT,Skoda,2017,"44,075 km",Petrol,1st owner,₹12.34L
Hyundai Creta SX 1.6 DIESEL,Hyundai,2017,"1,03,070 km",Diesel,2nd owner,₹8.52L
KIA SELTOS GTK 1.4 PETROL,KIA,2017,"34,598 km",Petrol,2nd owner,₹11.83L
Hyundai Creta SX PLUS 1.6 DIESEL,Hyundai,2017,"1,08,343 km",Diesel,1st owner,₹9.24L
Hyundai NEW SANTRO SPORTZ AMT,Hyundai,2017,"66,483 km",Petrol,2nd owner,₹4.73L
Maruti Celerio ZXI (O),Maruti,2017,"51,182 km",Petrol,2nd owner,₹4.14L
Renault Duster 110 PS RXZ 4X2 AMT DIESEL,Renault,2017,"93,571 km",Diesel,1st owner,₹6.23L
Tata TIGOR XZ PLUS PETROL,Tata,2017,"49,158 km",Petrol,1st owner,₹6.95L
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,"70,045 km",Petrol,1st owner,₹5.92L
